date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2010-07-07,Germany,Spain,0,1,True,Lose,2010,-5,-2.200000000000003,-2.5999999999999943,-4.799999999999997,-2,-3,-8,0,0,2,2,-1,4
2010-07-10,Uruguay,Germany,2,3,True,Lose,2010,-9,-4.799999999999997,0.29999999999999716,-4.700000000000003,-6,0,-2,-2,0,2,0,-1,10
2010-07-11,Netherlands,Spain,0,1,True,Lose,2010,-7,-7.200000000000003,-1.5999999999999943,-3.200000000000003,-14,-1,-6,3,1,9,0,-1,2
2014-06-13,Chile,Australia,3,1,True,Win,2014,4,4.200000000000003,6.700000000000003,8.200000000000003,24,3,-2,-2,0,-9,1,2,-48
2014-06-13,Mexico,Cameroon,1,0,True,Win,2014,6,-2.700000000000003,4.299999999999997,-2.700000000000003,16,1,-1,0,0,-1,-2,1,-36
2014-06-13,Spain,Netherlands,1,5,True,Lose,2014,6,7,-1.2999999999999972,5.5,14,-5,-4,-2,0,-13,2,-4,-14
2014-06-14,Colombia,Greece,3,0,True,Win,2014,2,-1,7,5.799999999999997,-8,1,0,-1,0,5,1,3,-4
2014-06-14,England,Italy,1,2,True,Lose,2014,-2,0.20000000000000284,1,-2.799999999999997,-4,3,6,1,0,-4,-3,-1,1
2014-06-14,Uruguay,Costa Rica,1,3,True,Lose,2014,4,7.700000000000003,12.400000000000006,5.400000000000006,8,1,-3,3,1,2,-1,-2,-21
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,True,Win,2014,-3,5.400000000000006,10,8,10,-6,-5,0,0,-4,2,1,-16
2014-06-15,Switzerland,Ecuador,2,1,True,Win,2014,10,9,2.299999999999997,2,12,6,8,0,0,-6,-2,1,-20
2014-06-16,Germany,Portugal,4,0,True,Win,2014,6,4,0,4.5,11,0,-1,-1,-1,-3,2,4,-2
2014-06-16,Ghana,United States,1,2,True,Lose,2014,-10,-2.5,-3.299999999999997,1.5,18,1,13,2,0,-2,-1,-1,24
2014-06-17,Belgium,Algeria,2,1,True,Win,2014,11,7.400000000000006,6.700000000000003,6,30,9,13,0,0,3,-6,1,-11
2014-06-17,Russia,South Korea,1,1,True,Draw,2014,11,7.299999999999997,1.5999999999999943,4.5,-4,4,6,-2,0,8,0,0,-38
2014-06-18,Australia,Netherlands,2,3,True,Lose,2014,-3,-7.5,-15,-9.700000000000003,-4,-6,-5,0,0,-7,5,-1,47
2014-06-18,Cameroon,Croatia,0,4,True,Lose,2014,-3,-0.29999999999999716,-2.700000000000003,-2.5,-2,-7,-3,-1,1,2,5,-4,38
2014-06-18,Spain,Chile,0,2,True,Lose,2014,5,10.299999999999997,7,7,12,5,8,-1,0,-1,-4,-2,-13
2014-06-19,Japan,Greece,0,0,True,Draw,2014,0,-4.599999999999994,-3.299999999999997,3.200000000000003,36,6,7,-2,-1,5,-1,0,34
2014-06-19,Uruguay,England,2,1,True,Win,2014,0,-3.5,1,-3,-24,-2,-3,0,0,5,2,1,-3
2014-06-20,Italy,Costa Rica,0,1,True,Lose,2014,6,11,10.400000000000006,11.200000000000003,16,0,0,0,0,-14,0,-1,-19
2014-06-20,Switzerland,France,2,5,True,Lose,2014,-4,-4,-6,-6.200000000000003,14,-8,-5,-1,0,-4,5,-3,-11
2014-06-21,Germany,Ghana,2,2,True,Draw,2014,16,14,12,7.5,18,-4,-9,-1,0,-6,3,0,-35
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,True,Win,2014,-3,-5,-4.599999999999994,1,-8,3,2,0,0,2,-2,1,23
2014-06-22,Belgium,Russia,1,0,True,Win,2014,0,3.4000000000000057,5.700000000000003,3,6,0,-2,1,0,4,2,1,-8
2014-06-22,South Korea,Algeria,2,4,True,Lose,2014,0,-3.299999999999997,-0.5999999999999943,-1.5,8,-2,-6,1,0,-3,-1,-2,35
2014-06-22,United States,Portugal,2,2,True,Draw,2014,0,-7.5,-8.700000000000003,-4.5,-4,1,-5,1,0,-3,2,0,9
2014-06-23,Australia,Spain,0,3,True,Lose,2014,-9,-14.5,-13.700000000000003,-15.200000000000003,-10,-8,-7,1,0,5,2,-3,61
