date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2009-03-28,Montenegro,Italy,0,2,False,Lose,2009,-40,-17.700000000000003,-9.400000000000006,-14.5,12,4,3,1,0,1,-4,-2,108
2009-03-28,Netherlands,Scotland,3,0,False,Win,2009,4,7.799999999999997,10.700000000000003,7.5,32,3,4,2,0,4,-4,3,-25
2009-03-28,Northern Ireland,Poland,3,2,False,Win,2009,-8,-0.20000000000000284,-4,-4.799999999999997,-6,0,4,-2,0,5,0,1,13
2009-03-28,Spain,Turkey,1,0,False,Win,2009,10,6.599999999999994,6.700000000000003,7.5,4,1,2,0,0,-6,1,1,-10
2009-03-28,Uruguay,Paraguay,2,0,False,Win,2009,1,3.5,0.29999999999999716,1,0,2,-2,-2,0,-4,0,2,6
2009-03-28,Wales,Finland,0,2,False,Lose,2009,-3,-3.5999999999999943,2,6.400000000000006,4,-1,0,-2,0,0,3,-2,11
2009-03-29,Ecuador,Brazil,1,1,False,Draw,2009,-13,-16.200000000000003,-9.400000000000006,-15,0,6,15,-4,0,-8,-6,0,34
2009-04-01,England,Ukraine,2,1,False,Win,2009,5,15.200000000000003,7.299999999999997,10.5,18,0,4,2,0,-4,0,1,-5
2009-04-01,Italy,Republic of Ireland,1,1,False,Draw,2009,7,10.299999999999997,10.400000000000006,7.299999999999997,-12,-5,-8,2,1,-11,5,0,-22
2009-04-01,Northern Ireland,Slovenia,1,0,False,Win,2009,-6,3.299999999999997,-3.5999999999999943,-0.7999999999999972,-2,-1,-2,2,0,-3,0,1,-17
2009-04-01,Scotland,Iceland,2,1,False,Win,2009,32,2,2.299999999999997,9,12,5,9,-1,0,-7,-5,1,-47
2009-04-01,Turkey,Spain,1,2,False,Lose,2009,-10,-6.599999999999994,-6.700000000000003,-7.5,-2,-1,-2,2,0,-2,1,-1,10
2009-04-01,Wales,Germany,0,2,False,Lose,2009,-8,-11,-9.599999999999994,-6.299999999999997,-20,0,-2,-1,0,4,1,-2,66
2009-04-01,Ecuador,Paraguay,1,1,False,Draw,2009,0,-6,-3.4000000000000057,-4,0,1,6,2,-1,3,-1,0,24
2009-04-01,Chile,Uruguay,0,0,False,Draw,2009,-5,-9,-3.700000000000003,3.4000000000000057,0,-3,-3,-5,1,-10,3,0,9
2009-06-06,Argentina,Colombia,1,0,False,Win,2009,7,5.400000000000006,8.299999999999997,10.299999999999997,0,-2,-3,-2,0,0,3,1,-38
2009-06-06,Bulgaria,Republic of Ireland,1,1,False,Draw,2009,-5,-5,2,-1.4000000000000057,4,1,4,1,0,-1,1,0,-11
2009-06-06,Iceland,Netherlands,1,2,False,Lose,2009,-36,-9.799999999999997,-13,-16.5,0,-5,-10,2,0,7,6,-1,90
